epoch,train_loss,val_loss
1,0.256027,0.241196
2,0.221275,0.230305
3,0.218415,0.218079
4,0.176537,0.217139
5,0.212474,0.215519
6,0.168264,0.182419
7,0.199698,0.200452
8,0.211273,0.169849
9,0.232151,0.170543
10,0.197018,0.209506
11,0.263569,0.167898
12,0.176903,0.232103
13,0.201035,0.176949
14,0.192159,0.207232
15,0.190761,0.200202
16,0.191708,0.179720
17,0.146377,0.189686
18,0.216661,nan
19,0.285294,nan
20,0.358982,nan
21,0.397331,nan
22,0.389342,nan
23,0.384609,nan
24,0.397404,nan
25,0.381020,nan
26,0.397300,nan
27,0.399441,nan
28,0.384764,nan
29,nan,nan
30,nan,nan
