epoch,train_loss,val_loss,val_auroc_macro,val_auprc_macro,val_f1_macro,lr
1,0.552266,0.457270,0.648097,0.131975,0.084819,0.00100000
2,0.526415,0.424574,0.725644,0.181141,0.175705,0.00099932
3,0.508883,0.407760,0.820187,0.235732,0.183946,0.00099726
4,0.493967,0.391751,0.850980,0.284568,0.244965,0.00099385
5,0.484278,0.385691,0.870718,0.316869,0.269303,0.00098908
6,0.473547,0.385767,0.883624,0.385163,0.280832,0.00098298
7,0.465239,0.371518,0.877078,0.390949,0.300928,0.00097555
8,0.454509,0.368806,0.883895,0.402236,0.311663,0.00096682
9,0.448296,0.365098,0.884849,0.405188,0.319260,0.00095682
10,0.441317,0.385764,0.882103,0.361074,0.242764,0.00094556
11,0.436459,0.375874,0.902264,0.432126,0.346399,0.00093308
12,0.426266,0.363056,0.910149,0.437003,0.359651,0.00091942
13,0.422283,0.359255,0.895497,0.425877,0.350828,0.00090460
14,0.416756,0.362116,0.903236,0.427606,0.333180,0.00088868
15,0.411913,0.355650,0.904330,0.447404,0.368557,0.00087170
16,0.406487,0.351300,0.901296,0.437487,0.369463,0.00085370
17,0.402176,0.358495,0.898740,0.441449,0.365959,0.00083473
18,0.395002,0.353155,0.912598,0.458882,0.387372,0.00081485
19,0.393074,0.360391,0.904359,0.454427,0.376543,0.00079410
20,0.386843,0.355324,0.904750,0.449378,0.385122,0.00077255
21,0.384859,0.356612,0.899398,0.450856,0.373190,0.00075025
22,0.375624,0.350598,0.896492,0.446939,0.378110,0.00072727
23,0.368889,0.352019,0.905492,0.454564,0.387475,0.00070366
24,0.363949,0.349955,0.887590,0.435464,0.358882,0.00067950
25,0.362978,0.339232,0.904143,0.445508,0.380748,0.00065485
26,0.354695,0.338410,0.903133,0.450569,0.397310,0.00062978
27,0.351428,0.343053,0.894447,0.438809,0.375171,0.00060435
28,0.346672,0.343302,0.890396,0.439612,0.381207,0.00057864
29,0.340674,0.338057,0.892419,0.441927,0.381006,0.00055271
30,0.336455,0.343009,0.890706,0.438515,0.381592,0.00052664
31,0.330283,0.337251,0.887398,0.435838,0.369296,0.00050050
32,0.325254,0.346864,0.891483,0.436385,0.369909,0.00047436
33,0.319384,0.344875,0.890405,0.432547,0.366469,0.00044829
34,0.317798,0.334585,0.892515,0.440607,0.395021,0.00042236
35,0.310645,0.338906,0.887055,0.434486,0.360424,0.00039665
36,0.303034,0.334137,0.876285,0.422727,0.365986,0.00037122
37,0.300123,0.330215,0.888439,0.435540,0.382280,0.00034615
38,0.295009,0.325900,0.881266,0.431644,0.370655,0.00032150
39,0.293674,0.334810,0.876939,0.427058,0.375161,0.00029734
40,0.288670,0.330129,0.873892,0.427196,0.365772,0.00027373
41,0.285057,0.331520,0.874319,0.426733,0.360956,0.00025075
42,0.280179,0.329597,0.876296,0.423441,0.362960,0.00022845
43,0.278321,0.326824,0.872303,0.429085,0.369886,0.00020690
44,0.274439,0.330955,0.873251,0.424519,0.357873,0.00018615
45,0.273026,0.326062,0.872343,0.423922,0.370172,0.00016627
46,0.270380,0.325474,0.871008,0.424581,0.376195,0.00014730
47,0.267011,0.327941,0.868452,0.422196,0.363940,0.00012930
48,0.264523,0.327259,0.870697,0.423012,0.371644,0.00011232
49,0.262160,0.328777,0.871116,0.420557,0.366126,0.00009640
50,0.260499,0.327180,0.869429,0.418656,0.360164,0.00008158
51,0.259427,0.323695,0.870931,0.425653,0.368714,0.00006792
52,0.258009,0.324485,0.868704,0.422675,0.368256,0.00005544
53,0.258365,0.323912,0.869233,0.422338,0.367116,0.00004418
54,0.256184,0.323298,0.870994,0.424949,0.369354,0.00003418
55,0.256079,0.326104,0.868547,0.420954,0.362571,0.00002545
56,0.254908,0.325807,0.868915,0.420636,0.362957,0.00001802
57,0.254099,0.325331,0.867863,0.419326,0.360452,0.00001192
58,0.253694,0.325841,0.867782,0.420390,0.362261,0.00000715
59,0.254355,0.325188,0.867687,0.420830,0.362027,0.00000374
60,0.254308,0.324370,0.867580,0.420648,0.364332,0.00000168
